case,condition,run_idx,session_id,model_id,tokens_input,tokens_output,tokens_total,tokens_cache_read,tokens_cache_write,cost,wall_time_seconds,harness_wall_seconds,tool_calls,bash_calls,pdb_invocations,pytest_passed,golden_match,accuracy,pytest_summary,actual_output,expected_output,opencode_exit_code,opencode_stderr_tail
01_logic_offbyone,without-skill,1,ses_1c10e9e05ffeaIWyjPuwk4Ulpj,accounts/fireworks/models/kimi-k2p6,20686,765,51433,29982,0,0.027509,56.99,58.02,4,2,0,True,True,True,5 passed in 0.00s,15,15,0,"gic_offbyone_without-skill_gg8cjcg_/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_without-skill_gg8cjcg_/buggy.py | @@ -4,9 +4,9 @@ |   |  def sum_to(n): |      """"""Return the sum 1 + 2 + ... + n inclusive."""""" |      total = 0 | -    for i in range(n): "
01_logic_offbyone,without-skill,2,ses_1c10dba81ffeCQ2tchtB8YVtCx,accounts/fireworks/models/kimi-k2p6,20644,745,51410,30021,0,0.027395,62.05,63.12,4,2,0,True,True,True,5 passed in 0.00s,15,15,0,".py | @@ -4,9 +4,9 @@ |   |  def sum_to(n): |      """"""Return the sum 1 + 2 + ... + n inclusive."""""" |      total = 0 | -    for i in range(n): | +    for i in range(1, n + 1): |          total += i |      return total |   |   |  | [0m | [0m$ [0mpython -c ""from buggy import sum_to; print(sum_to(5))"
01_logic_offbyone,without-skill,3,ses_1c10cc38effefFsUCbj7jzez1D,accounts/fireworks/models/kimi-k2p6,10290,666,40944,29988,0,0.017238,53.65,54.68,3,1,0,True,True,True,5 passed in 0.00s,15,15,0,"============ | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_without-skill_gzmd3k2b/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_without-skill_gzmd3k2b/buggy.py | @@ -4,9 +4,9 @@ |   |  def sum_to(n): |      """"""Ret"
01_logic_offbyone,with-skill,1,ses_1c10bed62ffeA1fEYDCk6Z96xK,accounts/fireworks/models/kimi-k2p6,35147,1696,114631,77788,0,0.05262,55.43,56.48,9,7,5,True,True,True,5 passed in 0.00s,15,15,0,"================= | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_with-skill_c0qh58ng/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_with-skill_c0qh58ng/buggy.py | @@ -4,9 +4,9 @@ |   |  def sum_to(n): |      """"""Retu"
01_logic_offbyone,with-skill,2,ses_1c10b106affebAjyd3jrVJttiw,accounts/fireworks/models/kimi-k2p6,23464,1569,79470,54437,0,0.037277,56.12,57.12,6,4,3,True,True,True,5 passed in 0.00s,15,15,0,"================== | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_with-skill_a_a7chr6/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_with-skill_a_a7chr6/buggy.py | @@ -4,9 +4,9 @@ |   |  def sum_to(n): |      """"""Ret"
01_logic_offbyone,with-skill,3,ses_1c10a305bffejnI28fOBSeFJIF,accounts/fireworks/models/kimi-k2p6,32779,1000,76671,42892,0,0.042003,52.58,53.68,6,4,3,True,True,True,5 passed in 0.00s,15,15,0,"================== | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_with-skill_uhq6tybz/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_with-skill_uhq6tybz/buggy.py | @@ -4,9 +4,9 @@ |   |  def sum_to(n): |      """"""Ret"
02_logic_conditional,without-skill,1,ses_1c1095e40ffe8JaR7vY9eSLPq4,accounts/fireworks/models/kimi-k2p6,20254,856,41227,20117,0,0.025884,69.99,71.04,3,1,0,True,True,True,6 passed in 0.00s,False,False,0,"  |   |  def is_leap(year): |      """"""Return True iff year is a Gregorian leap year."""""" | -    if year % 4 == 0: | -        return True | -    return False | +    return year % 4 == 0 and (year % 100 != 0 or year % 400 == 0) |   |   |  if __name__ == ""__main__"": |      year = json.load(sys.stdin)[""y"
02_logic_conditional,without-skill,2,ses_1c10847dcffe6fFXElIvF3Posg,accounts/fireworks/models/kimi-k2p6,21093,1084,52369,30192,0,0.029205,71.44,72.55,4,2,0,True,True,True,6 passed in 0.00s,False,False,0,"[0mpython -c ""from buggy import is_leap; print('1900:', is_leap(1900)); print('2000:', is_leap(2000)); print('1996:', is_leap(1996)); print('1904:', is_leap(1904)); print('2100:', is_leap(2100))"" | zsh:1: command not found: python | [0m | [0m$ [0mpython3 -c ""from buggy import is_leap; print('1900"
02_logic_conditional,without-skill,3,ses_1c1072b73ffepcPTYkKLMd24n8,accounts/fireworks/models/kimi-k2p6,21079,1021,52353,30253,0,0.02895,74.54,75.73,4,2,0,True,True,True,6 passed in 0.00s,False,False,0,"ut-skill_rcmb5365/buggy.py | @@ -3,9 +3,9 @@ |   |   |  def is_leap(year): |      """"""Return True iff year is a Gregorian leap year."""""" | -    if year % 4 == 0: | +    if year % 4 == 0 and (year % 100 != 0 or year % 400 == 0): |          return True |      return False |   |   |  | [0m | [0m$ [0mp"
02_logic_conditional,with-skill,1,ses_1c1060186ffeTMKl04rSup7W0q,accounts/fireworks/models/kimi-k2p6,27904,3476,138707,107327,0,0.057585,67.14,68.68,10,8,6,True,True,True,6 passed in 0.00s,False,False,0,"ith-skill__qgptd21/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_02_logic_conditional_with-skill__qgptd21/buggy.py | @@ -4,8 +4,10 @@ |   |  def is_leap(year): |      """"""Return True iff year is a Gregorian leap year."""""" |      if year % 4 == 0: | +        if year % 100 "
