case,condition,run_idx,session_id,model_id,tokens_input,tokens_output,tokens_total,tokens_cache_read,tokens_cache_write,cost,wall_time_seconds,harness_wall_seconds,tool_calls,bash_calls,pdb_invocations,pytest_passed,golden_match,accuracy,pytest_summary,actual_output,expected_output,opencode_exit_code,opencode_stderr_tail
01_logic_offbyone,without-skill,1,ses_1c04cf934ffeMOBPkJdfS5YrRa,accounts/fireworks/models/gpt-oss-20b,7394,192,9525,1939,0,0.000408,4.59,5.77,1,0,0,False,False,False,"4 failed, 1 passed in 0.01s",10,15,0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | [93m[1m! [0mpermission requested: external_directory (/*); auto-rejecting | [0m✗ [0mglob failed | [91m[1mError: [0mThe user rejected permission to use this specific tool call. | 
01_logic_offbyone,without-skill,2,ses_1c04ce33cffexRk8UMuWYAd1J5,accounts/fireworks/models/gpt-oss-20b,17185,1702,41962,23075,0,0.0012,63.68,64.52,3,0,0,True,True,True,5 passed in 0.00s,15,15,0,================================================================== | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_without-skill__9od2zl7/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_without-skill__9od2zl7/buggy.py
01_logic_offbyone,without-skill,3,ses_1c04be61effe9SIw62yh0C924o,accounts/fireworks/models/gpt-oss-20b,16117,846,39762,22799,0,0.000975,60.24,61.16,3,0,0,True,True,True,5 passed in 0.00s,15,15,0,================================================================== | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_without-skill_181wwc3c/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_without-skill_181wwc3c/buggy.py
01_logic_offbyone,with-skill,1,ses_1c04af689ffexREjec112XUqdO,accounts/fireworks/models/gpt-oss-20b,8632,482,41362,32248,0,0.000528,55.89,56.81,3,0,0,True,True,True,5 passed in 0.00s,15,15,0,y.py | =================================================================== | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_with-skill_3xvaly69/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_01_logic_offbyone_with-skill_3xvaly69/buggy.
01_logic_offbyone,with-skill,2,ses_1c04a17d8ffeGip70AezSccDlv,accounts/fireworks/models/gpt-oss-20b,7947,1313,11205,1945,0,0.00066,22.75,23.66,0,0,0,False,False,False,"4 failed, 1 passed in 0.00s",10,15,0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | 
01_logic_offbyone,with-skill,3,ses_1c049bb09ffeoZrW7uWFDqkS8T,accounts/fireworks/models/gpt-oss-20b,7948,1698,11594,1948,0,0.000737,27.82,28.63,1,0,0,False,False,False,"4 failed, 1 passed in 0.00s",10,15,0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | [93m[1m! [0mpermission requested: external_directory (/*); auto-rejecting | [0m✗ [0mread failed | [91m[1mError: [0mThe user rejected permission to use this specific tool call. | 
02_logic_conditional,without-skill,1,ses_1c0494a67ffegSD5XykAmd1IoF,accounts/fireworks/models/gpt-oss-20b,16707,1196,40851,22948,0,0.001075,59.51,60.35,3,0,0,True,True,True,6 passed in 0.00s,False,False,0,"gn/T/dse_02_logic_conditional_without-skill__gfw02im/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_02_logic_conditional_without-skill__gfw02im/buggy.py | @@ -3,10 +3,14 @@ |   |   |  def is_leap(year): |      """"""Return True iff year is a Gregorian leap year."""""" | -    i"
02_logic_conditional,without-skill,2,ses_1c0485d65ffesBIkvX4Ps1SQVg,accounts/fireworks/models/gpt-oss-20b,15665,661,39456,23130,0,0.000915,54.25,55.17,3,0,0,True,True,True,6 passed in 0.00s,False,False,0,"onditional_without-skill_a21dje7p/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_02_logic_conditional_without-skill_a21dje7p/buggy.py | @@ -3,11 +3,13 @@ |   |   |  def is_leap(year): |      """"""Return True iff year is a Gregorian leap year."""""" | -    if year % 4 == 0: | "
02_logic_conditional,without-skill,3,ses_1c0478506ffeKMvZI4IDppCmYK,accounts/fireworks/models/gpt-oss-20b,16605,1556,62825,44664,0,0.001141,66.81,67.77,5,0,0,True,True,True,6 passed in 0.00s,False,False,0,"sm/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_02_logic_conditional_without-skill_5ci08osm/buggy.py | @@ -3,10 +3,14 @@ |   |   |  def is_leap(year): |      """"""Return True iff year is a Gregorian leap year."""""" | -    if year % 4 == 0: | +    if year % 4 != 0: | +     "
02_logic_conditional,with-skill,1,ses_1c0467ba5ffesHD3ijflPylGID,accounts/fireworks/models/gpt-oss-20b,21048,2071,125281,102162,0,0.001467,95.79,96.71,10,0,0,True,True,True,6 passed in 0.00s,False,False,0,"zqb0n423cm6r04_v51wr80000gn/T/dse_02_logic_conditional_with-skill_266o_aj8/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_02_logic_conditional_with-skill_266o_aj8/buggy.py | @@ -4,9 +4,9 @@ |   |  def is_leap(year): |      """"""Return True iff year is a Gregorian leap year"
02_logic_conditional,with-skill,2,ses_1c0450017ffeEPOUiqlnSMxddf,accounts/fireworks/models/gpt-oss-20b,30905,7354,196194,157935,0,0.003016,161.38,162.57,13,5,0,True,True,True,6 passed in 0.00s,False,False,0,"200][0m | [0m | [0m$ [0mpython3 - <<'PY' | import importlib.util | spec=importlib.util.spec_from_file_location('bad','/private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_02_logic_conditional_with-skill_4dl6t_57/buggy.py') | mod=importlib.util.module_from_spec(spec) | spec.loader.exec_mo"
02_logic_conditional,with-skill,3,ses_1c042856fffeUWgKPxtgbOKvHg,accounts/fireworks/models/gpt-oss-20b,7981,35,9963,1947,0,0.000406,2.94,3.82,1,0,0,False,False,False,"2 failed, 4 passed in 0.00s",True,False,0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | [93m[1m! [0mpermission requested: external_directory (/*); auto-rejecting | [0m✗ [0mglob failed | [91m[1mError: [0mThe user rejected permission to use this specific tool call. | 
03_state_aliasing,without-skill,1,ses_1c0427642ffe6AsgCw99l2BPJk,accounts/fireworks/models/gpt-oss-20b,7431,38,9409,1940,0,0.000379,1.95,2.76,1,0,0,False,False,False,"2 failed, 1 passed in 0.00s","[[1, 2, 3], [1, 2, 3], [1, 2, 3]]","[[1], [2], [3]]",0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | [93m[1m! [0mpermission requested: external_directory (/*); auto-rejecting | [0m✗ [0mglob failed | [91m[1mError: [0mThe user rejected permission to use this specific tool call. | 
03_state_aliasing,without-skill,2,ses_1c0426adaffeeZ7G9m0MN6y6fM,accounts/fireworks/models/gpt-oss-20b,16846,1154,51495,33495,0,0.001073,56.43,57.26,4,0,0,True,True,True,3 passed in 0.00s,"[[1], [2], [3]]","[[1], [2], [3]]",0,"======================= | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_03_state_aliasing_without-skill_ejmcdyue/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_03_state_aliasing_without-skill_ejmcdyue/buggy.py | @@ -1,10 +1,12 @@ |  import json |  impo"
03_state_aliasing,without-skill,3,ses_1c041895fffe38iGDdGdVj6O1t,accounts/fireworks/models/gpt-oss-20b,7424,1324,10695,1947,0,0.000636,21.43,22.5,0,0,0,False,False,False,"2 failed, 1 passed in 0.00s","[[1, 2, 3], [1, 2, 3], [1, 2, 3]]","[[1], [2], [3]]",0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | 
03_state_aliasing,with-skill,1,ses_1c04131b0ffexLHZBNQAQRHdXm,accounts/fireworks/models/gpt-oss-20b,19985,1459,99816,78372,0,0.001291,73.06,73.89,8,2,0,True,True,True,3 passed in 0.00s,"[[1], [2], [3]]","[[1], [2], [3]]",0,"0zzqb0n423cm6r04_v51wr80000gn/T/dse_03_state_aliasing_with-skill_4z2_jrpw/buggy.py'],input='{""items"":[1,2]} |                                                                                                                                                         ^ | SyntaxError: unterminated string l"
03_state_aliasing,with-skill,2,ses_1c0401057ffegUMtinjtTKI0KW,accounts/fireworks/models/gpt-oss-20b,7990,1280,11217,1947,0,0.000656,23.21,24.08,0,0,0,False,False,False,"2 failed, 1 passed in 0.00s","[[1, 2, 3], [1, 2, 3], [1, 2, 3]]","[[1], [2], [3]]",0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | 
03_state_aliasing,with-skill,3,ses_1c03fb1ceffe1XVAjtUZQ63NUf,accounts/fireworks/models/gpt-oss-20b,18274,1537,55194,35383,0,0.001221,63.46,64.31,4,0,0,True,True,True,3 passed in 0.00s,"[[1], [2], [3]]","[[1], [2], [3]]",0,"cm6r04_v51wr80000gn/T/dse_03_state_aliasing_with-skill_5jdygzuc/buggy.py | @@ -1,10 +1,13 @@ |  import json |  import sys |   |   | -def add_item(item, lst=[]): | -    """"""Append item to a new list and return it."""""" | +def add_item(item, lst=None): | +    """"""Append item to a new list and return it. |"
04_state_classvar,without-skill,1,ses_1c03eb5faffeTU3RE5pD5X104f,accounts/fireworks/models/gpt-oss-20b,16326,1064,40109,22719,0,0.001029,57.94,58.82,3,0,0,True,True,True,3 passed in 0.00s,"{""a"": 3, ""b"": 2}","{""a"": 3, ""b"": 2}",0,t-skill_9o6zcqu6/buggy.py | =================================================================== | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_without-skill_9o6zcqu6/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_wi
04_state_classvar,without-skill,2,ses_1c03dcfa2ffernITZHJ03QZB7T,accounts/fireworks/models/gpt-oss-20b,16791,801,50003,32411,0,0.001,57.46,58.34,4,0,0,True,True,True,3 passed in 0.00s,"{""a"": 3, ""b"": 2}","{""a"": 3, ""b"": 2}",0,"==================================== | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_without-skill_ogq9kof_/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_without-skill_ogq9kof_/buggy.py | @@ -2,9 +2,10 @@ |  import "
04_state_classvar,without-skill,3,ses_1c03ceb0affemn2xEnjYZXGVNI,accounts/fireworks/models/gpt-oss-20b,16194,953,40406,23259,0,0.001,55.2,56.07,3,0,0,True,True,True,3 passed in 0.00s,"{""a"": 3, ""b"": 2}","{""a"": 3, ""b"": 2}",0,5iv3/buggy.py | =================================================================== | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_without-skill_c5p25iv3/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_without-skill_
04_state_classvar,with-skill,1,ses_1c03c0f07ffe65FT7FKSjuWEXD,accounts/fireworks/models/gpt-oss-20b,17309,515,52121,34297,0,0.000968,55.89,56.81,4,0,0,True,True,True,3 passed in 0.00s,"{""a"": 3, ""b"": 2}","{""a"": 3, ""b"": 2}",0,"========================================== | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_with-skill_5281i0l6/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_with-skill_5281i0l6/buggy.py | @@ -2,9 +2,10 @@ |  import "
04_state_classvar,with-skill,2,ses_1c03b2f86ffeHR3avC4j2VeMt6,accounts/fireworks/models/gpt-oss-20b,16967,927,42116,24222,0,0.001034,60.39,61.58,3,0,0,True,True,True,3 passed in 0.00s,"{""a"": 3, ""b"": 2}","{""a"": 3, ""b"": 2}",0,_with-skill_i56lyzia/buggy.py | =================================================================== | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_with-skill_i56lyzia/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_w
04_state_classvar,with-skill,3,ses_1c03a3f58ffeRwgC1zzUlT1kl1,accounts/fireworks/models/gpt-oss-20b,16805,308,40880,23767,0,0.000902,52.34,53.25,3,0,0,True,True,True,3 passed in 0.00s,"{""a"": 3, ""b"": 2}","{""a"": 3, ""b"": 2}",0,_with-skill_z917_8kn/buggy.py | =================================================================== | --- /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_with-skill_z917_8kn/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_04_state_classvar_w
05_exc_keyerror,without-skill,1,ses_1c0396e83ffeEeVyLsurw1nF35,accounts/fireworks/models/gpt-oss-20b,7422,127,9489,1940,0,0.000396,3.66,4.57,1,0,0,False,False,False,"3 failed, 2 passed in 0.00s","<exit=1>  | stderr=Traceback (most recent call last):
  File ""/private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_05_exc_keyerror_without-skill_5wlk78oh/buggy.py"", line 14, in <module>
    print(config_value(co",None,0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | [93m[1m! [0mpermission requested: external_directory (/*); auto-rejecting | [0m✗ [0mglob failed | [91m[1mError: [0mThe user rejected permission to use this specific tool call. | 
05_exc_keyerror,without-skill,2,ses_1c0395c63ffeKKvkHcEnUCWPUM,accounts/fireworks/models/gpt-oss-20b,17212,1088,71317,53017,0,0.001078,65.42,66.27,6,3,0,True,True,True,5 passed in 0.00s,None,None,0,"/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_05_exc_keyerror_without-skill_yzksk_h5/buggy.py | zsh:1: command not found: python | [0m | [0m$ [0mecho '{""config"": {""a"": 1}, ""key"": ""missing""}' | python3 /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_05_exc_keyerror_without-skil"
05_exc_keyerror,without-skill,3,ses_1c03858a6ffeQw9ZtSY841M0UK,accounts/fireworks/models/gpt-oss-20b,7417,2048,11413,1948,0,0.00078,20.54,21.43,0,0,0,False,False,False,"3 failed, 2 passed in 0.00s","<exit=1>  | stderr=Traceback (most recent call last):
  File ""/private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_05_exc_keyerror_without-skill_3h8y52pm/buggy.py"", line 14, in <module>
    print(config_value(co",None,0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | 
