case,condition,run_idx,session_id,model_id,tokens_input,tokens_output,tokens_total,tokens_cache_read,tokens_cache_write,cost,wall_time_seconds,harness_wall_seconds,tool_calls,bash_calls,pdb_invocations,pytest_passed,golden_match,accuracy,pytest_summary,actual_output,expected_output,opencode_exit_code,opencode_stderr_tail
V1_blind_csv,without-skill,1,ses_1c088fe29ffeRrTaDFTSEWYZ58,accounts/fireworks/models/kimi-k2p6,42523,2449,141752,96780,0,0.065678,80.18,81.23,7,4,0,True,True,True,7 passed in 0.01s,"Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0,"  transactions = [] |  | [0m | [0m$ [0mpython buggy.py | zsh:1: command not found: python | [0m | [0m$ [0mpython3 buggy.py | Top 5 customers by total spend: |   C0004: $11192.14 |   C0029: $10659.35 |   C0016: $9979.36 |   C0028: $9851.57 |   C0017: $9494.16 | [0m | [0m$ [0mpython3 -c "" | f"
V1_blind_csv,without-skill,2,ses_1c087c081ffeRd4EbvZxd1uq8f,accounts/fireworks/models/kimi-k2p6,52705,1521,147569,93343,0,0.071089,117.35,118.3,8,4,0,True,True,True,7 passed in 0.01s,"Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0,"ultdict | from buggy import load_transactions, totals_by_customer, top_customers, format_report |  | transactions = load_transactions(Path('transactions.csv')) | print(f'Rows processed: {len(transactions)}') | totals = totals_by_customer(transactions) | print(f'Unique customers: {len(totals)}') | pr"
V1_blind_csv,without-skill,3,ses_1c085f1c5ffe0amM4e1nGixWdr,accounts/fireworks/models/kimi-k2p6,41610,1071,145672,102991,0,0.060292,73.5,74.42,9,4,0,True,True,True,7 passed in 0.01s,"Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0,"  |   |  def load_transactions(path: Path) -> list[dict]: |      transactions = [] |  | [0m | [0m$ [0mpython3 buggy.py | Top 5 customers by total spend: |   C0004: $11192.14 |   C0029: $10659.35 |   C0016: $9979.36 |   C0028: $9851.57 |   C0017: $9494.16 | [0m | [0m$ [0mpython3 -c "" | import c"
V1_blind_csv,with-skill,1,ses_1c084ce47ffe9uRJA8kjkStn5W,accounts/fireworks/models/kimi-k2p6,45124,1267,165523,119132,0,0.066997,91.09,92.0,8,5,2,True,True,True,7 passed in 0.01s,"Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0,"ace("","", """").strip()) |   |   |  def load_transactions(path: Path) -> list[dict]: |      transactions = [] |  | [0m | [0m$ [0mpython3 buggy.py | Top 5 customers by total spend: |   C0004: $11192.14 |   C0029: $10659.35 |   C0016: $9979.36 |   C0028: $9851.57 |   C0017: $9494.16 | [0m | [0m$ [0"
V1_blind_csv,with-skill,2,ses_1c0836639ffeK5lBtLEMXP4YIL,accounts/fireworks/models/kimi-k2p6,43733,1735,166310,120842,0,0.067821,63.65,64.55,8,5,1,True,True,True,7 passed in 0.01s,"Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0,"-    return float(raw) | +    return float(raw.replace("","", """")) |   |   |  def load_transactions(path: Path) -> list[dict]: |      transactions = [] |  | [0m | [0m$ [0mpython3 buggy.py | Top 5 customers by total spend: |   C0004: $11192.14 |   C0029: $10659.35 |   C0016: $9979.36 |   C0028: $985"
V1_blind_csv,with-skill,3,ses_1c0826934ffeKF8m2O1dBhatr0,accounts/fireworks/models/kimi-k2p6,39972,2106,167180,125102,0,0.066414,93.49,94.43,12,9,0,True,True,True,7 passed in 0.01s,"Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0,"tions(path: Path) -> list[dict]: |      transactions = [] |      with path.open(newline="""") as f: |          reader = csv.DictReader(f) |  | [0m | [0m$ [0mpython3 buggy.py | Top 5 customers by total spend: |   C0004: $11192.14 |   C0029: $10659.35 |   C0016: $9979.36 |   C0028: $9851.57 |   C0017"
V2_pandas_chained,without-skill,1,ses_1c080f63fffegrrk4Qu0sw24uj,accounts/fireworks/models/kimi-k2p6,23831,1427,107691,82433,0,0.041537,82.15,83.42,9,6,0,True,True,True,6 passed in 0.25s,customers=60 total_spend=37367.54 mean_spend=622.79,customers=60 total_spend=37367.54 mean_spend=622.79,0,"import json | from buggy import load_customers, apply_discount, summarize | from pathlib import Path |  | df = load_customers(Path('customers.csv')) | pre = summarize(df) | print('Pre-discount total_spend:', pre['total_spend']) | df = apply_discount(df, 500, 0.10) | post = summarize(df) | print('Pos"
V2_pandas_chained,without-skill,2,ses_1c07faed6ffeQhXo2rkuz130Dz,accounts/fireworks/models/kimi-k2p6,24879,1413,82603,56311,0,0.038297,104.86,105.71,7,4,0,True,True,True,6 passed in 0.24s,customers=60 total_spend=37367.54 mean_spend=622.79,customers=60 total_spend=37367.54 mean_spend=622.79,0,"[0m | [0m$ [0msource venv/bin/activate && python -c "" | import pandas as pd | from pathlib import Path |  | # Load data | df = pd.read_csv('customers.csv') | orig_total = df['spend'].sum() | print(f'Original total_spend: {orig_total:.2f}') |  | # Apply discount manually | mask = df['spend'] > 500"
V2_pandas_chained,without-skill,3,ses_1c07e0eaaffePFngGc5HMmIW3A,accounts/fireworks/models/kimi-k2p6,25341,1982,156879,129556,0,0.052731,64.44,65.3,12,7,0,True,True,True,6 passed in 0.23s,customers=60 total_spend=37367.54 mean_spend=622.79,customers=60 total_spend=37367.54 mean_spend=622.79,0,"m | [0m$ [0msource venv/bin/activate && python buggy.py < inputs.json | customers=60 total_spend=37367.54 mean_spend=622.79 | [0m | [0m$ [0msource venv/bin/activate && python -c "" | import pandas as pd | from pathlib import Path |  | df = pd.read_csv('customers.csv') | mask = df['spend'] > 500 "
V2_pandas_chained,with-skill,1,ses_1c07d0c94ffevu1UdHs1fzzsVc,accounts/fireworks/models/kimi-k2p6,25785,1724,126418,98909,0,0.047217,52.74,53.59,10,7,0,True,True,True,6 passed in 0.15s,customers=60 total_spend=37367.54 mean_spend=622.79,customers=60 total_spend=37367.54 mean_spend=622.79,0,"mers by `rate` (e.g. 0.10 for 10%). |   |      Mutates df in place AND returns it for convenience. |      """""" | -    premium = df[df[""spend""] > threshold] | -    premium[""spend""] = premium[""spend""] * (1 - rate) | +    mask = df[""spend""] > threshold | +    df.loc[mask, ""spend""] = df.loc[mask, ""spend"""
